week,vendor,snap_total,dufb_total,wdfm_total,reported_sales
02_15_2025,Alili Bold Accessories,0,0,0,140
02_15_2025,Anthem Stories,0,0,0,55
02_15_2025,ATX Jerky,58,0,0,766
02_15_2025,Audrey's Pawstries,0,0,0,0
02_15_2025,Bonnet Farm,7,37,0,700
02_15_2025,Bud's Lemonade,0,0,10,321
02_15_2025,Brazos Valley Cheese,0,0,0,2150
02_15_2025,Broken Grain Baking Co.,64,0,0,1500
02_15_2025,C323 Woodworking,0,0,0,600
02_15_2025,Cha Community,0,0,0,0
02_15_2025,Chapultepec Farm,0,0,0,523
02_15_2025,Chef Flaco's Salsa,0,0,0,800
02_15_2025,Churros la Catrina,0,0,0,950
02_15_2025,Copperhead Creek Jewelry,0,0,0,330
02_15_2025,Don't Eat Beads,0,0,0,220
02_15_2025,Dresden Specialty Meats,0,0,0,800
02_15_2025,Flora House,0,0,0,325
02_15_2025,Fruits of Life,0,0,0,173
02_15_2025,For Keeps Coffee,0,0,0,203
02_15_2025,Foundations Farm,22,0,0,275
02_15_2025,Hay Ewe Ranch LLC,0,0,0,38
02_15_2025,Heritage Coffee,0,0,0,801
02_15_2025,Heritage Food Crafters,0,0,0,835
02_15_2025,Home Fries Cafe,0,0,0,0
02_15_2025,Hutto Soap & Candle Co,0,0,0,180
02_15_2025,Iron Bridge Coffee,0,0,0,290
02_15_2025,Katharos Baking Co,0,0,0,625
02_15_2025,Knots with Sofia,0,0,0,0
02_15_2025,Kurbside Coffee,0,0,0,456
02_15_2025,Little Bexar Farm,0,87,0,1500
02_15_2025,Luna Clean Food Cafe,0,0,0,420
02_15_2025,Macabre Maven,0,0,0,161
02_15_2025,Mama D's Pickles and Jams,49,0,75,250
02_15_2025,Mike's Makes,5,0,0,650
02_15_2025,The Moody Goat,0,0,30,180
02_15_2025,Muchos Tacos,0,0,20,2258
02_15_2025,No Label Mushrooms,0,0,0,1216
02_15_2025,Norma's Florals,0,0,0,240
02_15_2025,Ohana Freeze Dried Market,0,0,0,522
02_15_2025,Passion Gardens,0,0,0,200
02_15_2025,Quesadilla Factory,0,0,0,850
02_15_2025,Rancho Martinez Kitchen,0,0,10,670
